Date,series,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,No of trades
23-May-24,EQ,113.95,117,112.85,113.65,113.5,113.3,114.23,168,92.1,"70,002","79,96,044.35","1,403"
22-May-24,EQ,112.6,114.8,111.2,112.05,114,113.65,113.32,168,92.1,66453,7530689.35,1102
21-May-24,EQ,113.9,114,111.55,113.85,112,112.05,112.38,168,92.1,100184,11258531.2,1326
18-May-24,EQ,114.45,117.4,112.1,113.3,113.95,113.85,114.2,168,92.1,30417,3473516.35,432
17-May-24,EQ,113.4,114.6,112.8,112.8,113,113.3,113.56,168,92.1,78596,8924969.4,1203
16-May-24,EQ,113.6,115.95,111.1,112.85,113.5,112.8,113.45,168,92.1,75510,8566912.7,1461
15-May-24,EQ,113.35,114.55,112.25,112.95,112.6,112.85,113.17,168,92.1,50592,5725626.2,814
14-May-24,EQ,109.65,114.5,109.6,109.7,113.3,112.95,112.53,168,92.1,76653,8625557.05,1674
13-May-24,EQ,112,112,105.9,112.2,109,109.7,108.25,168,92.1,109124,11812196.25,2413
10-May-24,EQ,112.1,112.9,111,111.8,111.55,112.2,111.94,168,92.1,40946,4583532.65,990
09-May-24,EQ,115.7,115.7,111,115,112.05,111.8,112.99,168,92.1,56151,6344577.3,1277
08-May-24,EQ,112.05,116,112.05,113.7,115,115,114.98,168,92.1,110178,12668242.35,1781
07-May-24,EQ,118.65,118.65,112.5,118.25,113.55,113.7,114.85,168,92.1,160579,18441971.3,2512
06-May-24,EQ,116.65,122.1,113.75,116.05,118.2,118.25,118.78,168,92.1,201323,23912383.65,3590
03-May-24,EQ,118.95,119.25,114.55,118.05,116,116.05,116.27,168,92,100639,11701066.45,1926
02-May-24,EQ,117.75,120.5,116.1,116.35,117.5,118.05,118.57,168,92,174614,20704229.85,3689
30-Apr-24,EQ,118.15,120,115.4,118.55,115.7,116.35,117.26,168,92,103592,12146861.4,2093
29-Apr-24,EQ,120.7,120.85,118,119.6,118.55,118.55,118.99,168,92,57425,6832850.6,1289
26-Apr-24,EQ,120.15,122.7,119,119.45,119.75,119.6,120.54,168,90.4,100794,12149879.7,1776
25-Apr-24,EQ,118.95,120.5,117,119.25,119.9,119.45,119.31,168,90.4,64169,7655821.45,1396
24-Apr-24,EQ,122.1,125.35,118.1,120,118.8,119.25,121.57,168,90.4,142498,17323986.65,2274
23-Apr-24,EQ,120,121.5,119.1,119.2,119.2,120,120.33,168,90.4,71613,8616980.1,1583
22-Apr-24,EQ,117,123.05,116.05,115.25,119,119.2,119.67,168,90.4,152786,18283791.45,2862
19-Apr-24,EQ,114,117,113,115.85,115.6,115.25,114.84,168,90,108244,12431150.1,2486
18-Apr-24,EQ,118.55,121.6,114.55,118.45,116.3,115.85,118.72,168,90,118512,14070038.1,3082
16-Apr-24,EQ,114.25,123,114.25,114.8,118.55,118.45,119.21,168,90,218648,26065908.75,5451
15-Apr-24,EQ,118,118.75,112.05,121.35,115,114.8,115.27,168,90,134044,15451117.5,3244
12-Apr-24,EQ,122.45,124.6,120.35,123.7,121.5,121.35,122.22,168,90,231547,28299850.65,4442
10-Apr-24,EQ,114.05,129,111.2,114.05,123.65,123.7,122.07,168,90,452578,55248052.85,8456
09-Apr-24,EQ,117.1,117.8,113.5,116.95,114,114.05,115.05,168,90,116862,13445554.45,1843
08-Apr-24,EQ,116.95,119.05,113.9,116.95,117.55,116.95,116.22,168,90,188797,21942371.75,3047
05-Apr-24,EQ,110,117.4,110,110,117,116.95,115.48,168,90,478460,55254764.6,7367
04-Apr-24,EQ,109.3,111,108.15,108,110,110,109.5,168,90,143799,15746108.65,3036
03-Apr-24,EQ,105.05,109.6,105.05,105,108.2,108,108.29,168,90,278057,30111581.6,4458
02-Apr-24,EQ,103.05,105.95,103,103.1,105.45,105,104.56,168,90,154139,16116428.6,3322
01-Apr-24,EQ,94,104,94,93.3,103.05,103.1,100.4,168,90,297475,29865701.4,3712
28-Mar-24,EQ,93.95,97.7,92.1,93.9,93.5,93.3,95.22,168,85,292994,27900101.7,3183
27-Mar-24,EQ,97.6,99.9,93,97.25,93.5,93.9,95.72,168,85,337459,32302175.05,4076
26-Mar-24,EQ,100.35,101.6,95,101.25,96.9,97.25,98.65,168,85,255028,25159346.55,4744
22-Mar-24,EQ,100.8,102.6,98.75,100.5,101,101.25,101.08,168,85,204746,20695633.6,3869
